,Exponent,Truth Label,Predicted Label,Confidence
602,0.575,3,2,0.008347245409015025
603,0.575,3,3,0.9465776293823038
604,0.575,3,4,0.005008347245409015
605,0.575,3,5,0.001669449081803005
606,0.575,3,6,0.008347245409015025
607,0.575,3,7,0.01669449081803005
608,0.575,4,0,
609,0.575,4,1,
610,0.575,4,2,
611,0.575,4,3,
612,0.575,4,4,
613,0.575,4,5,
614,0.575,4,6,
615,0.575,4,7,
616,0.575,5,0,
617,0.575,5,1,
618,0.575,5,2,
619,0.575,5,3,
620,0.575,5,4,
621,0.575,5,5,
622,0.575,5,6,
623,0.575,5,7,
624,0.575,6,0,
625,0.575,6,1,
626,0.575,6,2,
627,0.575,6,3,
628,0.575,6,4,
629,0.575,6,5,
630,0.575,6,6,
631,0.575,6,7,
632,0.575,7,0,
633,0.575,7,1,
634,0.575,7,2,
635,0.575,7,3,
636,0.575,7,4,
637,0.575,7,5,
638,0.575,7,6,
639,0.575,7,7,
640,0.625,0,0,0.8577844311377245
641,0.625,0,1,0.04790419161676647
642,0.625,0,2,0.0074850299401197605
643,0.625,0,3,0.0344311377245509
644,0.625,0,4,0.005988023952095809
645,0.625,0,5,0.0014970059880239522
646,0.625,0,6,0.005988023952095809
647,0.625,0,7,0.038922155688622756
648,0.625,1,0,0.03293413173652695
649,0.625,1,1,0.9640718562874252
650,0.625,1,2,0.0
651,0.625,1,3,0.0014970059880239522
652,0.625,1,4,0.0
653,0.625,1,5,0.0
654,0.625,1,6,0.0014970059880239522
655,0.625,1,7,0.0
656,0.625,2,0,0.004491017964071856
657,0.625,2,1,0.0
658,0.625,2,2,0.9131736526946108
659,0.625,2,3,0.005988023952095809
660,0.625,2,4,0.0
661,0.625,2,5,0.0
662,0.625,2,6,0.02694610778443114
663,0.625,2,7,0.04940119760479042
664,0.625,3,0,0.008982035928143712
665,0.625,3,1,0.0029940119760479044
666,0.625,3,2,0.0074850299401197605
667,0.625,3,3,0.9281437125748503
668,0.625,3,4,0.0074850299401197605
669,0.625,3,5,0.0
670,0.625,3,6,0.0074850299401197605
671,0.625,3,7,0.0374251497005988
672,0.625,4,0,
673,0.625,4,1,
674,0.625,4,2,
675,0.625,4,3,
676,0.625,4,4,
677,0.625,4,5,
678,0.625,4,6,
679,0.625,4,7,
680,0.625,5,0,
681,0.625,5,1,
682,0.625,5,2,
683,0.625,5,3,
684,0.625,5,4,
685,0.625,5,5,
686,0.625,5,6,
687,0.625,5,7,
688,0.625,6,0,
689,0.625,6,1,
690,0.625,6,2,
691,0.625,6,3,
692,0.625,6,4,
693,0.625,6,5,
694,0.625,6,6,
695,0.625,6,7,
696,0.625,7,0,
697,0.625,7,1,
698,0.625,7,2,
699,0.625,7,3,
700,0.625,7,4,
701,0.625,7,5,
702,0.625,7,6,
703,0.625,7,7,
704,0.675,0,0,0.8260211800302572
705,0.675,0,1,0.048411497730711045
706,0.675,0,2,0.007564296520423601
707,0.675,0,3,0.04387291981845688
708,0.675,0,4,0.0045385779122541605
709,0.675,0,5,0.0
710,0.675,0,6,0.006051437216338881
711,0.675,0,7,0.06354009077155824
712,0.675,1,0,0.02723146747352496
